lowercase_basename,count,disk_relative_path,disk_basename,disk_source_folder,disk_batch_folder
frame_000472s.jpg,2,obama/batch_001/frame_000472s.jpg,frame_000472s.jpg,obama,batch_001
frame_000473s.jpg,2,diyas/batch_001/frame_000473s.jpg,frame_000473s.jpg,diyas,batch_001
frame_000473s.jpg,2,obama/batch_001/frame_000473s.jpg,frame_000473s.jpg,obama,batch_001
frame_000474s.jpg,2,diyas/batch_001/frame_000474s.jpg,frame_000474s.jpg,diyas,batch_001
frame_000474s.jpg,2,obama/batch_001/frame_000474s.jpg,frame_000474s.jpg,obama,batch_001
frame_000475s.jpg,2,diyas/batch_001/frame_000475s.jpg,frame_000475s.jpg,diyas,batch_001
frame_000475s.jpg,2,obama/batch_001/frame_000475s.jpg,frame_000475s.jpg,obama,batch_001
frame_000476s.jpg,2,diyas/batch_001/frame_000476s.jpg,frame_000476s.jpg,diyas,batch_001
frame_000476s.jpg,2,obama/batch_001/frame_000476s.jpg,frame_000476s.jpg,obama,batch_001
frame_000477s.jpg,2,diyas/batch_001/frame_000477s.jpg,frame_000477s.jpg,diyas,batch_001
frame_000477s.jpg,2,obama/batch_001/frame_000477s.jpg,frame_000477s.jpg,obama,batch_001
frame_000478s.jpg,2,diyas/batch_001/frame_000478s.jpg,frame_000478s.jpg,diyas,batch_001
frame_000478s.jpg,2,obama/batch_001/frame_000478s.jpg,frame_000478s.jpg,obama,batch_001
frame_000479s.jpg,2,diyas/batch_001/frame_000479s.jpg,frame_000479s.jpg,diyas,batch_001
frame_000479s.jpg,2,obama/batch_001/frame_000479s.jpg,frame_000479s.jpg,obama,batch_001
frame_000480s.jpg,2,diyas/batch_001/frame_000480s.jpg,frame_000480s.jpg,diyas,batch_001
frame_000480s.jpg,2,obama/batch_001/frame_000480s.jpg,frame_000480s.jpg,obama,batch_001
frame_000481s.jpg,2,diyas/batch_001/frame_000481s.jpg,frame_000481s.jpg,diyas,batch_001
frame_000481s.jpg,2,obama/batch_001/frame_000481s.jpg,frame_000481s.jpg,obama,batch_001
frame_000482s.jpg,2,diyas/batch_001/frame_000482s.jpg,frame_000482s.jpg,diyas,batch_001
